name,nationality,fastestLapTime
"Red Bull",Austrian,01:07.4
Mercedes,German,01:07.4
Ferrari,Italian,01:07.5
Ferrari,Italian,01:07.5
Mercedes,German,01:07.8
"Toro Rosso",Italian,01:08.1
Mercedes,German,01:08.4
McLaren,British,01:08.4
Williams,British,01:08.4
Mercedes,German,01:08.5
"Force India",Indian,01:08.5
"Haas F1 Team",American,01:08.6
Renault,French,01:08.7
"Force India",Indian,01:08.7
Williams,British,01:08.8
"Red Bull",Austrian,01:08.8
Ferrari,Italian,01:08.9
Renault,French,01:09.0
"Toro Rosso",Italian,01:09.1
Sauber,Swiss,01:09.2
Sauber,Swiss,01:09.3
"Red Bull",Austrian,01:09.6
"Haas F1 Team",American,01:09.7
"Haas F1 Team",American,01:09.9
Williams,British,01:09.9
McLaren,British,01:10.0
"Force India",Indian,01:10.1
"Toro Rosso",Italian,01:10.1
Renault,French,01:10.2
Williams,British,01:10.2
"Force India",Indian,01:10.3
"Manor Marussia",British,01:10.3
"Haas F1 Team",American,01:10.4
Ferrari,Italian,01:10.4
Renault,French,01:10.4
Ferrari,Italian,01:10.4
Sauber,Swiss,01:10.4
BAR,British,01:10.7
Sauber,Swiss,01:10.7
Toyota,Japanese,01:10.9
"Manor Marussia",British,01:10.9
BAR,British,01:11.0
McLaren,British,01:11.0
"Red Bull",Austrian,01:11.0
Renault,French,01:11.2
Renault,French,01:11.2
McLaren,British,01:11.2
Mercedes,German,01:11.2
Williams,British,01:11.3
Ferrari,Italian,01:11.4
Williams,British,01:11.5
Ferrari,Italian,01:11.5
Mercedes,German,01:11.5
Ferrari,Italian,01:11.5
McLaren,British,01:11.6
Ferrari,Italian,01:11.6
Williams,British,01:11.6
Ferrari,Italian,01:11.7
"Red Bull",Austrian,01:11.7
Ferrari,Italian,01:11.8
Williams,British,01:11.8
"Lotus F1",British,01:11.8
Mercedes,German,01:11.8
Williams,British,01:11.9
BAR,British,01:11.9
Sauber,Swiss,01:11.9
Williams,British,01:12.0
"Red Bull",Austrian,01:12.0
Sauber,Swiss,01:12.1
Jaguar,British,01:12.1
Sauber,Swiss,01:12.1
"Force India",Indian,01:12.1
Renault,French,01:12.1
Mercedes,German,01:12.2
Ferrari,Italian,01:12.2
Williams,British,01:12.2
Renault,French,01:12.2
McLaren,British,01:12.2
"Toro Rosso",Italian,01:12.3
McLaren,British,01:12.3
"Red Bull",Austrian,01:12.3
Ferrari,Italian,01:12.4
"Force India",Indian,01:12.4
Toyota,Japanese,01:12.4
McLaren,British,01:12.5
Sauber,Swiss,01:12.5
"Force India",Indian,01:12.5
McLaren,British,01:12.5
Mercedes,German,01:12.5
Ferrari,Italian,01:12.5
Ferrari,Italian,01:12.5
Mercedes,German,01:12.6
Ferrari,Italian,01:12.6
Williams,British,01:12.6
Williams,British,01:12.6
Ferrari,Italian,01:12.6
McLaren,British,01:12.6
Renault,French,01:12.7
Ferrari,Italian,01:12.7
"BMW Sauber",German,01:12.7
McLaren,British,01:12.7
Ferrari,Italian,01:12.8
Ferrari,Italian,01:12.9
McLaren,British,01:12.9
Ferrari,Italian,01:12.9
Toyota,Japanese,01:12.9
Jaguar,British,01:12.9
"Lotus F1",British,01:12.9
Sauber,Swiss,01:13.0
Ferrari,Italian,01:13.0
Toyota,Japanese,01:13.0
Renault,French,01:13.0
Renault,French,01:13.1
Honda,Japanese,01:13.1
Renault,French,01:13.1
"Red Bull",Austrian,01:13.1
Williams,British,01:13.1
Ferrari,Italian,01:13.1
Jordan,Irish,01:13.1
"Force India",Indian,01:13.1
Jaguar,British,01:13.2
Toyota,Japanese,01:13.2
"Lotus F1",British,01:13.2
"Toro Rosso",Italian,01:13.2
Renault,French,01:13.2
McLaren,British,01:13.2
Jordan,Irish,01:13.2
McLaren,British,01:13.2
Williams,British,01:13.2
"Force India",Indian,01:13.2
Ferrari,Italian,01:13.2
McLaren,British,01:13.3
Renault,French,01:13.3
"Toro Rosso",Italian,01:13.3
McLaren,British,01:13.3
Toyota,Japanese,01:13.3
"Toro Rosso",Italian,01:13.3
Jordan,Irish,01:13.4
Toyota,Japanese,01:13.4
"BMW Sauber",German,01:13.4
"Super Aguri",Japanese,01:13.4
Ferrari,Italian,01:13.4
Honda,Japanese,01:13.4
"Super Aguri",Japanese,01:13.4
Toyota,Japanese,01:13.4
"BMW Sauber",German,01:13.5
Williams,British,01:13.5
McLaren,British,01:13.5
"Haas F1 Team",American,01:13.5
Renault,French,01:13.6
Ferrari,Italian,01:13.6
"Toro Rosso",Italian,01:13.6
Mercedes,German,01:13.6
Toyota,Japanese,01:13.6
Ferrari,Italian,01:13.6
Mercedes,German,01:13.6
Honda,Japanese,01:13.6
Williams,British,01:13.6
"Red Bull",Austrian,01:13.7
"Red Bull",Austrian,01:13.7
"Toro Rosso",Italian,01:13.7
Sauber,Swiss,01:13.7
BAR,British,01:13.7
Toyota,Japanese,01:13.7
Ferrari,Italian,01:13.7
"Force India",Indian,01:13.7
Sauber,Swiss,01:13.7
Renault,French,01:13.8
McLaren,British,01:13.8
Ferrari,Italian,01:13.8
McLaren,British,01:13.8
"Red Bull",Austrian,01:13.8
"BMW Sauber",German,01:13.9
"Toro Rosso",Italian,01:13.9
"BMW Sauber",German,01:13.9
Minardi,Italian,01:13.9
Ferrari,Italian,01:13.9
McLaren,British,01:13.9
McLaren,British,01:13.9
Jordan,Irish,01:13.9
"Red Bull",Austrian,01:13.9
"Lotus F1",British,01:14.0
"Red Bull",Austrian,01:14.0
Honda,Japanese,01:14.0
Toyota,Japanese,01:14.0
Renault,French,01:14.0
"Red Bull",Austrian,01:14.0
"Red Bull",Austrian,01:14.0
McLaren,British,01:14.0
Renault,French,01:14.0
Sauber,Swiss,01:14.0
Brawn,British,01:14.0
Williams,British,01:14.0
"Toro Rosso",Italian,01:14.1
"Lotus F1",British,01:14.1
Minardi,Italian,01:14.1
Ferrari,Italian,01:14.1
"Super Aguri",Japanese,01:14.1
BAR,British,01:14.1
"BMW Sauber",German,01:14.1
Toyota,Japanese,01:14.1
Williams,British,01:14.1
Sauber,Swiss,01:14.1
Williams,British,01:14.1
"BMW Sauber",German,01:14.2
Renault,French,01:14.2
Mercedes,German,01:14.2
Williams,British,01:14.2
"BMW Sauber",German,01:14.2
Renault,French,01:14.2
"Red Bull",Austrian,01:14.2
Toyota,Japanese,01:14.2
McLaren,British,01:14.2
BAR,British,01:14.2
Toyota,Japanese,01:14.2
McLaren,British,01:14.2
"Toro Rosso",Italian,01:14.2
"Toro Rosso",Italian,01:14.3
"Red Bull",Austrian,01:14.3
"Red Bull",Austrian,01:14.3
Williams,British,01:14.3
"Toro Rosso",Italian,01:14.3
"Super Aguri",Japanese,01:14.3
McLaren,British,01:14.3
Ferrari,Italian,01:14.3
Renault,French,01:14.3
Sauber,Swiss,01:14.3
McLaren,British,01:14.3
"Spyker MF1",Dutch,01:14.4
Williams,British,01:14.4
"Toro Rosso",Italian,01:14.4
Brawn,British,01:14.4
Renault,French,01:14.4
"BMW Sauber",German,01:14.4
Ferrari,Italian,01:14.4
"Red Bull",Austrian,01:14.4
McLaren,British,01:14.4
Williams,British,01:14.4
BAR,British,01:14.4
Williams,British,01:14.5
Minardi,Italian,01:14.5
Marussia,Russian,01:14.5
McLaren,British,01:14.5
BAR,British,01:14.6
McLaren,British,01:14.6
McLaren,British,01:14.6
Ferrari,Italian,01:14.6
"Force India",Indian,01:14.6
"Toro Rosso",Italian,01:14.6
Mercedes,German,01:14.6
"Spyker MF1",Dutch,01:14.6
Williams,British,01:14.6
Honda,Japanese,01:14.7
Sauber,Swiss,01:14.7
Minardi,Italian,01:14.7
Honda,Japanese,01:14.7
Caterham,Malaysian,01:14.7
"BMW Sauber",German,01:14.7
Ferrari,Italian,01:14.7
Toyota,Japanese,01:14.7
"Red Bull",Austrian,01:14.7
Renault,French,01:14.7
Williams,British,01:14.7
MF1,Russian,01:14.7
"Toro Rosso",Italian,01:14.7
Sauber,Swiss,01:14.8
Honda,Japanese,01:14.8
Mercedes,German,01:14.8
Minardi,Italian,01:14.8
"Toro Rosso",Italian,01:14.8
Sauber,Swiss,01:14.8
"Lotus F1",British,01:14.8
McLaren,British,01:14.8
"Force India",Indian,01:14.8
Marussia,Russian,01:14.8
Renault,French,01:14.8
Jordan,Irish,01:14.9
Spyker,Dutch,01:14.9
Williams,British,01:14.9
Jaguar,British,01:14.9
"Manor Marussia",British,01:14.9
Ferrari,Italian,01:14.9
Renault,French,01:14.9
Ferrari,Italian,01:14.9
Sauber,Swiss,01:14.9
Renault,French,01:14.9
"Super Aguri",Japanese,01:14.9
"Toro Rosso",Italian,01:14.9
McLaren,British,01:14.9
Toyota,Japanese,01:14.9
Renault,French,01:14.9
"Force India",Indian,01:15.0
Ferrari,Italian,01:15.0
Mercedes,German,01:15.0
"Toro Rosso",Italian,01:15.0
"Red Bull",Austrian,01:15.0
"BMW Sauber",German,01:15.0
"Force India",Indian,01:15.0
Ferrari,Italian,01:15.0
Williams,British,01:15.0
Ferrari,Italian,01:15.0
Jaguar,British,01:15.0
"Toro Rosso",Italian,01:15.1
Williams,British,01:15.1
BAR,British,01:15.1
Sauber,Swiss,01:15.1
Toyota,Japanese,01:15.1
Sauber,Swiss,01:15.1
Jordan,Irish,01:15.1
Ferrari,Italian,01:15.1
Renault,French,01:15.2
"Force India",Indian,01:15.2
"Red Bull",Austrian,01:15.2
Renault,French,01:15.2
Ferrari,Italian,01:15.2
Mercedes,German,01:15.2
Spyker,Dutch,01:15.2
Ferrari,Italian,01:15.2
Brawn,British,01:15.2
Renault,French,01:15.2
BAR,British,01:15.2
BAR,British,01:15.2
Williams,British,01:15.2
"Red Bull",Austrian,01:15.3
"Red Bull",Austrian,01:15.3
McLaren,British,01:15.3
Ferrari,Italian,01:15.3
McLaren,British,01:15.3
Caterham,Malaysian,01:15.3
"Red Bull",Austrian,01:15.3
Honda,Japanese,01:15.4
Renault,French,01:15.4
Ferrari,Italian,01:15.4
Ferrari,Italian,01:15.4
Williams,British,01:15.4
McLaren,British,01:15.4
Renault,French,01:15.4
Ferrari,Italian,01:15.4
"Toro Rosso",Italian,01:15.4
"Red Bull",Austrian,01:15.4
Williams,British,01:15.4
"Red Bull",Austrian,01:15.4
Ferrari,Italian,01:15.4
Minardi,Italian,01:15.5
Ferrari,Italian,01:15.5
Ferrari,Italian,01:15.5
Renault,French,01:15.5
McLaren,British,01:15.5
Ferrari,Italian,01:15.5
Ferrari,Italian,01:15.5
McLaren,British,01:15.6
Renault,French,01:15.6
"Red Bull",Austrian,01:15.6
Ferrari,Italian,01:15.6
Mercedes,German,01:15.6
Sauber,Swiss,01:15.6
Mercedes,German,01:15.6
Renault,French,01:15.6
Sauber,Swiss,01:15.6
Williams,British,01:15.7
McLaren,British,01:15.7
Toyota,Japanese,01:15.7
Brawn,British,01:15.7
Jaguar,British,01:15.7
"Toro Rosso",Italian,01:15.7
Renault,French,01:15.7
McLaren,British,01:15.7
"Lotus F1",British,01:15.7
Williams,British,01:15.7
BAR,British,01:15.8
"Red Bull",Austrian,01:15.8
McLaren,British,01:15.8
Ferrari,Italian,01:15.8
"Red Bull",Austrian,01:15.8
Williams,British,01:15.8
Sauber,Swiss,01:15.8
Toyota,Japanese,01:15.8
Minardi,Italian,01:15.8
"Force India",Indian,01:15.8
Ferrari,Italian,01:15.8
McLaren,British,01:15.8
Williams,British,01:15.8
McLaren,British,01:15.8
"Red Bull",Austrian,01:15.8
Mercedes,German,01:15.8
Williams,British,01:15.8
Ferrari,Italian,01:15.9
Renault,French,01:15.9
McLaren,British,01:15.9
Ferrari,Italian,01:15.9
Williams,British,01:15.9
Mercedes,German,01:15.9
Spyker,Dutch,01:15.9
"Toro Rosso",Italian,01:15.9
Jordan,Irish,01:15.9
Toyota,Japanese,01:15.9
Jordan,Irish,01:15.9
McLaren,British,01:15.9
Sauber,Swiss,01:15.9
Renault,French,01:15.9
Renault,French,01:15.9
McLaren,British,01:15.9
"Toro Rosso",Italian,01:16.0
"Force India",Indian,01:16.0
Mercedes,German,01:16.0
Toyota,Japanese,01:16.0
Williams,British,01:16.0
Ferrari,Italian,01:16.0
Toyota,Japanese,01:16.0
McLaren,British,01:16.0
McLaren,British,01:16.0
McLaren,British,01:16.0
"BMW Sauber",German,01:16.0
Williams,British,01:16.0
"Red Bull",Austrian,01:16.0
Ferrari,Italian,01:16.0
BAR,British,01:16.0
"BMW Sauber",German,01:16.0
Jaguar,British,01:16.0
BAR,British,01:16.0
Sauber,Swiss,01:16.0
Mercedes,German,01:16.0
"Force India",Indian,01:16.0
"Force India",Indian,01:16.0
Toyota,Japanese,01:16.1
Toyota,Japanese,01:16.1
Williams,British,01:16.1
"Red Bull",Austrian,01:16.1
Ferrari,Italian,01:16.1
Williams,British,01:16.1
Williams,British,01:16.1
"Force India",Indian,01:16.1
Jordan,Irish,01:16.1
Renault,French,01:16.1
Ferrari,Italian,01:16.1
Renault,French,01:16.1
Ferrari,Italian,01:16.1
"Red Bull",Austrian,01:16.2
Renault,French,01:16.2
Ferrari,Italian,01:16.2
McLaren,British,01:16.2
Ferrari,Italian,01:16.2
"Toro Rosso",Italian,01:16.2
Sauber,Swiss,01:16.2
Ferrari,Italian,01:16.2
"Force India",Indian,01:16.2
"Force India",Indian,01:16.2
Ferrari,Italian,01:16.2
McLaren,British,01:16.2
Toyota,Japanese,01:16.2
"Red Bull",Austrian,01:16.2
McLaren,British,01:16.2
"Red Bull",Austrian,01:16.2
"Red Bull",Austrian,01:16.2
"Red Bull",Austrian,01:16.2
Ferrari,Italian,01:16.2
Renault,French,01:16.3
Ferrari,Italian,01:16.3
Jordan,Irish,01:16.3
McLaren,British,01:16.3
"Red Bull",Austrian,01:16.3
"Red Bull",Austrian,01:16.3
"Red Bull",Austrian,01:16.3
Sauber,Swiss,01:16.3
McLaren,British,01:16.3
"Red Bull",Austrian,01:16.3
"Haas F1 Team",American,01:16.3
Ferrari,Italian,01:16.3
"BMW Sauber",German,01:16.3
"Red Bull",Austrian,01:16.3
"Haas F1 Team",American,01:16.3
Renault,French,01:16.4
"Force India",Indian,01:16.4
"Toro Rosso",Italian,01:16.4
McLaren,British,01:16.4
Ferrari,Italian,01:16.4
Ferrari,Italian,01:16.4
Mercedes,German,01:16.4
"Red Bull",Austrian,01:16.4
"Lotus F1",British,01:16.4
Mercedes,German,01:16.4
"Force India",Indian,01:16.4
McLaren,British,01:16.4
Sauber,Swiss,01:16.4
Mercedes,German,01:16.4
McLaren,British,01:16.5
McLaren,British,01:16.5
Mercedes,German,01:16.5
"Red Bull",Austrian,01:16.5
"Red Bull",Austrian,01:16.5
Sauber,Swiss,01:16.5
"Toro Rosso",Italian,01:16.5
McLaren,British,01:16.5
Sauber,Swiss,01:16.5
McLaren,British,01:16.5
Ferrari,Italian,01:16.5
McLaren,British,01:16.5
Renault,French,01:16.5
McLaren,British,01:16.5
Williams,British,01:16.5
Ferrari,Italian,01:16.5
Toyota,Japanese,01:16.5
McLaren,British,01:16.5
Toyota,Japanese,01:16.5
"Force India",Indian,01:16.5
"Toro Rosso",Italian,01:16.5
Ferrari,Italian,01:16.5
McLaren,British,01:16.5
McLaren,British,01:16.5
Ferrari,Italian,01:16.5
Toyota,Japanese,01:16.5
Williams,British,01:16.5
"Toro Rosso",Italian,01:16.6
Ferrari,Italian,01:16.6
McLaren,British,01:16.6
"Red Bull",Austrian,01:16.6
Renault,French,01:16.6
Mercedes,German,01:16.6
Toyota,Japanese,01:16.6
Williams,British,01:16.6
"Force India",Indian,01:16.6
Ferrari,Italian,01:16.6
"Toro Rosso",Italian,01:16.6
Ferrari,Italian,01:16.6
"Force India",Indian,01:16.6
