Piloto,driverId,numero_Vitorias
"Alain Prost",117,6
"Michael Schumacher",30,5
"Juan Fangio",579,4
"Emerson Fittipaldi",224,4
"Damon Hill",71,3
"Carlos Reutemann",199,3
"Sebastian Vettel",20,3
"Nelson Piquet",137,3
"Felipe Massa",13,2
"Jacques Laffite",172,2
"Juan Pablo Montoya",31,2
"Nico Rosberg",3,2
"Mika H�_kkinen",57,2
"Jacques Villeneuve",35,2
"Ayrton Senna",102,2
"Nigel Mansell",95,2
"Mark Webber",17,2
"Kimi R�_ikk̦nen",8,1
"Giancarlo Fisichella",21,1
"Jody Scheckter",222,1
"Niki Lauda",182,1
"Ren̩ Arnoux",163,1
"Carlos Pace",250,1
"Denny Hulme",304,1
"Jackie Stewart",328,1
"Bruce McLaren",360,1
"Stirling Moss",475,1
"Alan Jones",178,1
"Luigi Musso",577,1
"Alberto Ascari",647,1
"David Coulthard",14,1
"Jenson Button",18,1
"Mario Andretti",207,1
"Lewis Hamilton",1,1
